ID,Scan page,Printed page,Category,Original OCR,Correction,Context (correction in [ ]),Occurrence of context,Flag,Note,Your decision (accept / reject / edit),Your text (if edit)
1,7,,page rewritten,(see scan),(see Markdown),,,,Title page transcribed from the page image (OCR was about 28% accurate).,,
2,8,,page rewritten,(see scan),(see Markdown),,,,Copyright notice transcribed from the page image.,,
3,9,iii,heading (re-cased),PREFACE,Preface,[Preface] Among those Churches of the,1,,,,
4,9,iii,word,onl}^,only,to Worship; and they not [only] permitted but encouraged the exercise,1,,,,
5,9,iii,word,"Pra3""er.",Prayer.,encouraged the exercise of Free [Prayer.] In a like spirit the,1,,,,
6,10,iv,punctuation/spacing,Day.,"Day,","stated Ordinances of the Lord's [Day,] and all the ordinary and",1,,,,
7,11,v,word,Coacerning,Concerning,the freedom of this Republic. [Concerning] the manner in which the,1,,,,
8,11,v,word,tjtie,the,"Preface; and throughout the Book, [the] careful reader will find that",1,,,,
9,12,vi,page rewritten,(see scan),(see Markdown),,,,"Committee list re-set from the page image (two columns: Ministers / Ruling Elders); ""Robert K Willson"" corrected to ""Robert N. Willson"".",,
10,13,vii,heading (re-cased/corrected),CONCEKNING THE USE OF THIS BOOK. ^,Concerning the Use of This Book,[Concerning the Use of This Book] None of the Forms of,1,,,,
11,13,vii,word,Sermce,Service,None of the Forms of [Service] in this Book are intended,1,,,,
12,13,vii,word,he,be,this Book are intended to [be] in any sense obligatory; but,1,,,,
13,13,vii,word,hut,but,be in any sense obligatory; [but] where a given Order is,1,,,,
14,13,vii,word,toill,will,Order is voluntarily used it [will] promote unity and the general,1,,,,
15,13,vii,rubric mark (¶),IT,,are followed as here arranged. [] In order that all the,,,,,
16,13,vii,word,Puhlic,Public,"take their part in the [Public] Worship of God, it is",1,,,,
17,13,vii,word,"Ood,","God,","in the Public Worship of [God,] it is most earnestly recommended",1,,,,
18,13,vii,word,ichich,which,"recommended that, in those churches [which] choose to make use of",1,,,,
19,13,vii,word,he,be,the conduct of Worship may [be] avoided. The playing of a,1,,,,
20,13,vii,rubric mark (¶),IT,,of Worship may be avoided. [] The playing of a voluntary,,,,,
21,13,vii,rubric mark (¶),^,,all the parts of Worship. [] To attain the prompt and,,,,,
22,13,vii,word,he,be,when any change is to [be] made in the order of,1,,,,
23,13,vii,punctuation/spacing,"{as,","(as,","as given in the Book [(as,] for example, in the use",1,,,,
24,14,viii,word,chily,duly,"[duly] notified. It is also desirable,",1,,,,
25,14,viii,word,7iumbers,numbers,"it is convenient, that the [numbers] of the Hymns and of",1,,,,
26,14,viii,rubric mark (¶),^,,be seen by the Congregation. [] In connection with the General,,,,,
27,14,viii,rubric mark (¶),1[,,special need of the congregation. [] The use of this Book,,,,,
28,14,viii,word,loill bcprofitable,will be profitable,The use of this Book [will be profitable] only to those who are,1,,,,
29,14,viii,word,icho,who,be profitable only to those [who] are careful not to make,1,,,,
30,14,viii,word,ar,or,"it a means of formal [or] restricted worship, either public or",1,,,,
31,14,viii,word,loho,who,either public or private; but [who] remember always their duty as,1,,,,
32,14,viii,word,Jes2is,Jesus,the blessing of God through [Jesus] Christ.,1,,,,
33,15,ix,page rewritten,(see scan),(see Markdown),,,,Table of Contents rebuilt as a list (page numbers dropped).,,
34,16,x,page rewritten,(see scan),(see Markdown),,,,Table of Contents rebuilt as a list (page numbers dropped).,,
35,17,1,heading (re-cased/corrected),THE ORDER OP MORNING SERVICE ON THE LORD'S DAY.,The Order of Morning Service on the Lord's Day,[The Order of Morning Service on the Lord's Day] The Call to Worship. Let,1,,,,
